image1,image2,label
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_06.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_07.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_08.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_09.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_10.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_11.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_02.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_03.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_04.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_05.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_06.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_07.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_08.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_09.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_10.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character06\0714_11.png,5
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_02.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_03.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_04.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_05.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_06.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_07.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_08.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_09.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_10.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character07\0715_11.png,6
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_02.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_03.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_04.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_05.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_06.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_07.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_08.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_09.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_10.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character08\0716_11.png,7
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_02.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_03.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_04.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_05.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_06.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_07.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_08.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_09.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_10.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character09\0717_11.png,8
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_02.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_03.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_04.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_05.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_06.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_07.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_08.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_09.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_10.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character10\0718_11.png,9
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_02.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_03.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_04.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_05.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_06.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_07.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_08.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_09.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_10.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character11\0719_11.png,10
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_02.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_03.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_04.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_05.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_06.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_07.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_08.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_09.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_10.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character12\0720_11.png,11
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_02.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_03.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_04.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_05.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_06.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_07.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_08.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_09.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_10.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character13\0721_11.png,12
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_02.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_03.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_04.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_05.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_06.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_07.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_08.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_09.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_10.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character14\0722_11.png,13
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_02.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_03.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_04.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_05.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_06.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_07.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_08.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_09.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_10.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character15\0723_11.png,14
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_02.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_03.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_04.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_05.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_06.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_07.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_08.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_09.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_10.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character16\0724_11.png,15
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_02.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_03.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_04.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_05.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_06.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_07.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_08.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_09.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_10.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character17\0725_11.png,16
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_02.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_03.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_04.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_05.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_06.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_07.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_08.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_09.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_10.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character18\0726_11.png,17
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_02.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_03.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_04.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_05.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_06.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_07.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_08.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_09.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_10.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character19\0727_11.png,18
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_02.png,19
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_03.png,19
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_04.png,19
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_05.png,19
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_06.png,19
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_07.png,19
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_08.png,19
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_09.png,19
./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character20\0728_10.png,19
